id',Date,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
1,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,4,5
2,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,1,6
3,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,1,5
4,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,2,7
5,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,adelus,Pomacentrus adelus,1,6
6,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Stethojulis,strigiventer,Stethojulis strigiventer,1,8
7,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2,5
8,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,4,7
9,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2,5
10,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,2,40-70,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1,8
11,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1,8
12,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3,7
13,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2,5
14,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4,9
15,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2,7
16,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,1,3
17,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,1,9
18,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Chrysiptera,rex,Chrysiptera rex,2,4
19,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,2,3
20,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,3,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,3,3
21,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1,6
22,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1,7
23,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,8,7
24,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3,6
25,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4,8
26,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Halichoeres,marginatus,Halichoeres marginatus,1,8
27,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Halichoeres,marginatus,Halichoeres marginatus,1,12
28,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Halichoeres,marginatus,Halichoeres marginatus,1,7
29,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Halichoeres,marginatus,Halichoeres marginatus,1,9
30,25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10,1,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,2,6
31,26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9,2,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2,8
