id,Date,Random,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
1,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,4.0,5.0
2,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,1.0,6.0
3,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,5.0
4,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
5,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
6,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,8.0
7,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,5.0
8,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,4.0,7.0
9,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,5.0
10,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,8.0
11,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,8.0
12,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3.0,7.0
13,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2.0,5.0
14,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4.0,9.0
15,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2.0,7.0
16,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,3.0
17,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,1.0,9.0
18,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Chrysiptera,rex,Chrysiptera rex,2.0,4.0
19,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,3.0
20,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
21,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,6.0
22,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,7.0
23,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,8.0,7.0
24,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3.0,6.0
25,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4.0,8.0
26,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,8.0
27,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,12.0
28,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,7.0
29,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,9.0
30,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,6.0
31,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,8.0
32,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,4.0,7.0
33,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
34,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,5.0
35,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
36,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,7.0,3.0
37,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,1.0,2.0
38,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Chrysiptera,rex,Chrysiptera rex,5.0,4.0
39,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,5.0,6.0
40,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Thalassoma,lunare,Thalassoma lunare,1.0,9.0
41,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
42,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
43,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,3.0,7.0
44,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Halichoeres,melanurus,Halichoeres melanurus,1.0,5.0
45,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,1.0,10.0
46,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,5.0
47,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,7.0
48,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,6.0,6.0
49,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
50,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,2.0
51,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,13.0
52,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Zanclus,cornutus,Zanclus cornutus,1.0,11.0
53,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,6.0
54,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,7.0
55,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,7.0
56,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,8.0
57,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
58,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,9.0
59,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,7.0
60,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,2.0,8.0
61,,0,,,,,,,,,,,,
62,,1,,,,,,,,,,,,
63,,1,,,,,,,,,,,,
64,,1,,,,,,,,,,,,
65,,0,,,,,,,,,,,,
66,,1,,,,,,,,,,,,
67,,0,,,,,,,,,,,,
68,,1,,,,,,,,,,,,
69,,1,,,,,,,,,,,,
70,,0,,,,,,,,,,,,
71,,0,,,,,,,,,,,,
72,,0,,,,,,,,,,,,
73,,0,,,,,,,,,,,,
74,,1,,,,,,,,,,,,
75,,1,,,,,,,,,,,,
76,,1,,,,,,,,,,,,
77,,1,,,,,,,,,,,,
78,,1,,,,,,,,,,,,
79,,1,,,,,,,,,,,,
80,,0,,,,,,,,,,,,
81,,1,,,,,,,,,,,,
82,,0,,,,,,,,,,,,
83,,1,,,,,,,,,,,,
84,,1,,,,,,,,,,,,
85,,1,,,,,,,,,,,,
86,,0,,,,,,,,,,,,
87,,0,,,,,,,,,,,,
88,,1,,,,,,,,,,,,
89,,0,,,,,,,,,,,,
90,,0,,,,,,,,,,,,
91,,1,,,,,,,,,,,,
92,,0,,,,,,,,,,,,
93,,0,,,,,,,,,,,,
94,,0,,,,,,,,,,,,
95,,1,,,,,,,,,,,,
96,,1,,,,,,,,,,,,
97,,1,,,,,,,,,,,,
98,,1,,,,,,,,,,,,
99,,1,,,,,,,,,,,,
100,,1,,,,,,,,,,,,
101,,1,,,,,,,,,,,,
102,,1,,,,,,,,,,,,
103,,1,,,,,,,,,,,,
104,,0,,,,,,,,,,,,
105,,0,,,,,,,,,,,,
106,,0,,,,,,,,,,,,
107,,0,,,,,,,,,,,,
108,,1,,,,,,,,,,,,
109,,1,,,,,,,,,,,,
110,,0,,,,,,,,,,,,
111,,0,,,,,,,,,,,,
112,,0,,,,,,,,,,,,
113,,0,,,,,,,,,,,,
114,,0,,,,,,,,,,,,
115,,0,,,,,,,,,,,,
116,,0,,,,,,,,,,,,
117,,0,,,,,,,,,,,,
118,,0,,,,,,,,,,,,
119,,0,,,,,,,,,,,,
120,,0,,,,,,,,,,,,
121,,1,,,,,,,,,,,,
122,,1,,,,,,,,,,,,
123,,0,,,,,,,,,,,,
124,,0,,,,,,,,,,,,
125,,0,,,,,,,,,,,,
126,,0,,,,,,,,,,,,
127,,0,,,,,,,,,,,,
128,,0,,,,,,,,,,,,
129,,0,,,,,,,,,,,,
130,,1,,,,,,,,,,,,
131,,0,,,,,,,,,,,,
132,,1,,,,,,,,,,,,
133,,1,,,,,,,,,,,,
134,,1,,,,,,,,,,,,
135,,0,,,,,,,,,,,,
136,,1,,,,,,,,,,,,
137,,0,,,,,,,,,,,,
138,,0,,,,,,,,,,,,
139,,0,,,,,,,,,,,,
140,,0,,,,,,,,,,,,
141,,0,,,,,,,,,,,,
142,,1,,,,,,,,,,,,
143,,0,,,,,,,,,,,,
144,,0,,,,,,,,,,,,
145,,1,,,,,,,,,,,,
146,,0,,,,,,,,,,,,
147,,0,,,,,,,,,,,,
148,,0,,,,,,,,,,,,
149,,1,,,,,,,,,,,,
150,,1,,,,,,,,,,,,
151,,0,,,,,,,,,,,,
152,,0,,,,,,,,,,,,
153,,0,,,,,,,,,,,,
154,,1,,,,,,,,,,,,
155,,1,,,,,,,,,,,,
156,,0,,,,,,,,,,,,
157,,1,,,,,,,,,,,,
158,,1,,,,,,,,,,,,
159,,1,,,,,,,,,,,,
160,,0,,,,,,,,,,,,
161,,0,,,,,,,,,,,,
162,,1,,,,,,,,,,,,
163,,1,,,,,,,,,,,,
164,,1,,,,,,,,,,,,
165,,0,,,,,,,,,,,,
166,,1,,,,,,,,,,,,
167,,0,,,,,,,,,,,,
168,,1,,,,,,,,,,,,
169,,0,,,,,,,,,,,,
170,,1,,,,,,,,,,,,
171,,0,,,,,,,,,,,,
172,,0,,,,,,,,,,,,
173,,0,,,,,,,,,,,,
174,,1,,,,,,,,,,,,
175,,0,,,,,,,,,,,,
176,,1,,,,,,,,,,,,
177,,0,,,,,,,,,,,,
178,,1,,,,,,,,,,,,
179,,0,,,,,,,,,,,,
180,,0,,,,,,,,,,,,
181,,0,,,,,,,,,,,,
182,,1,,,,,,,,,,,,
183,,0,,,,,,,,,,,,
184,,1,,,,,,,,,,,,
185,,1,,,,,,,,,,,,
186,,0,,,,,,,,,,,,
187,,0,,,,,,,,,,,,
188,,0,,,,,,,,,,,,
189,,0,,,,,,,,,,,,
190,,0,,,,,,,,,,,,
191,,1,,,,,,,,,,,,
192,,1,,,,,,,,,,,,
193,,1,,,,,,,,,,,,
194,,1,,,,,,,,,,,,
195,,0,,,,,,,,,,,,
196,,0,,,,,,,,,,,,
197,,0,,,,,,,,,,,,
198,,1,,,,,,,,,,,,
199,,0,,,,,,,,,,,,
200,,1,,,,,,,,,,,,
201,,0,,,,,,,,,,,,
202,,1,,,,,,,,,,,,
203,,1,,,,,,,,,,,,
204,,1,,,,,,,,,,,,
205,,0,,,,,,,,,,,,
206,,1,,,,,,,,,,,,
207,,1,,,,,,,,,,,,
208,,0,,,,,,,,,,,,
209,,0,,,,,,,,,,,,
210,,1,,,,,,,,,,,,
211,,1,,,,,,,,,,,,
212,,0,,,,,,,,,,,,
213,,0,,,,,,,,,,,,
214,,1,,,,,,,,,,,,
215,,0,,,,,,,,,,,,
216,,0,,,,,,,,,,,,
217,,1,,,,,,,,,,,,
218,,0,,,,,,,,,,,,
219,,0,,,,,,,,,,,,
220,,1,,,,,,,,,,,,
221,,1,,,,,,,,,,,,
222,,1,,,,,,,,,,,,
223,,0,,,,,,,,,,,,
